client_id,age_bracket,job,marital,education,has_housing_loan,has_personal_loan,prev_call_duration,days_since_last_call,num_contacts_prev,poutcome,contact_date,cpi,subs_deposit
6945,25-40,pink-collar,divorced,masters,no,no,184,999,0,nonexistent,02/05/18,93.994,0
35600,41-60,white-collar,single,senior_secondary,yes,no,234,999,0,nonexistent,01/11/18,93.2,1
40763,25-40,white-collar,single,bachelors,yes,no,153,3,1,success,05/09/18,92.379,1
2782,41-60,entrepreneur,married,bachelors,no,no,153,999,0,nonexistent,01/05/18,93.994,0
7412,41-60,blue-collar,married,secondary,no,yes,179,999,0,nonexistent,02/05/18,92.893,0
21826,25-40,blue-collar,married,masters,yes,no,458,999,0,nonexistent,04/07/18,93.918,1
40710,41-60,white-collar,divorced,senior_secondary,no,no,473,3,5,success,04/09/18,94.199,1
40092,41-60,pink-collar,divorced,secondary,yes,no,325,999,0,nonexistent,02/04/18,93.075,0
17623,41-60,other,married,senior_secondary,yes,no,106,999,0,nonexistent,07/06/18,94.465,0
9120,25-40,pink-collar,single,masters,no,no,589,999,0,nonexistent,03/05/18,93.994,0
29073,25-40,technician,married,bachelors,yes,no,455,999,0,nonexistent,01/08/18,93.444,1
12665,25-40,pink-collar,single,senior_secondary,yes,no,557,999,1,failure,04/05/18,92.893,0
14708,25-40,technician,divorced,masters,yes,no,80,999,0,nonexistent,04/06/18,94.465,0
18823,25-40,white-collar,married,senior_secondary,yes,no,14,999,0,nonexistent,01/06/18,94.465,0
5729,41-60,white-collar,married,bachelors,no,no,51,999,0,nonexistent,02/05/18,93.994,0
25525,25-40,blue-collar,married,senior_secondary,yes,no,150,999,0,nonexistent,02/07/18,93.918,0
31736,25-40,white-collar,single,bachelors,yes,no,520,999,0,nonexistent,03/08/18,93.444,1
29869,41-60,white-collar,married,senior_secondary,no,no,74,999,0,nonexistent,01/08/18,92.201,0
7294,41-60,pink-collar,married,secondary,no,no,984,999,1,failure,02/05/18,92.893,1
10309,18-24,white-collar,single,senior_secondary,yes,no,638,6,1,success,03/05/18,92.893,0
31302,41-60,self-employed,married,bachelors,no,yes,157,999,0,nonexistent,02/08/18,92.201,0
15967,25-40,white-collar,single,bachelors,no,no,856,12,2,success,05/06/18,94.055,1
37861,41-60,white-collar,married,bachelors,yes,no,335,999,0,nonexistent,01/03/18,93.369,1
13275,25-40,white-collar,single,bachelors,yes,no,637,999,0,nonexistent,04/05/18,92.893,1
33976,41-60,white-collar,married,unknown,no,no,67,999,0,nonexistent,06/11/18,93.2,0
37032,41-60,blue-collar,married,unknown,yes,no,663,999,0,nonexistent,02/11/18,93.2,1
17332,41-60,technician,married,masters,no,no,112,999,0,nonexistent,07/06/18,94.465,0
4061,41-60,blue-collar,single,secondary,no,no,184,999,0,nonexistent,01/05/18,93.994,0
1155,41-60,entrepreneur,married,secondary,yes,no,215,999,0,nonexistent,07/05/18,93.994,0
33037,60+,technician,married,masters,yes,no,676,999,0,nonexistent,04/10/18,92.431,0
32486,41-60,technician,married,masters,unknown,unknown,447,8,2,failure,05/10/18,92.431,1
4284,41-60,white-collar,married,senior_secondary,no,no,5,999,0,nonexistent,01/05/18,93.994,0
11497,41-60,white-collar,single,secondary,yes,no,161,999,0,nonexistent,04/05/18,93.994,0
26944,41-60,pink-collar,married,secondary,yes,yes,256,999,0,nonexistent,06/08/18,93.444,0
5778,25-40,white-collar,divorced,senior_secondary,yes,no,161,999,0,nonexistent,02/05/18,93.994,0
2760,41-60,other,married,bachelors,no,no,116,999,0,nonexistent,01/05/18,93.994,0
15697,41-60,pink-collar,married,bachelors,yes,no,441,999,0,nonexistent,05/06/18,94.465,0
24249,41-60,other,divorced,secondary,no,no,655,999,0,nonexistent,06/07/18,93.918,1
5751,41-60,white-collar,married,senior_secondary,no,no,228,999,0,nonexistent,02/05/18,93.994,0
16501,25-40,white-collar,single,senior_secondary,no,no,72,999,0,nonexistent,06/06/18,94.465,0
5224,25-40,pink-collar,divorced,secondary,yes,no,556,10,1,success,01/05/18,92.893,1
24055,41-60,white-collar,single,bachelors,no,no,1180,999,0,nonexistent,06/07/18,93.918,0
34835,25-40,self-employed,single,bachelors,no,yes,197,3,1,success,07/11/18,93.2,0
34552,25-40,white-collar,divorced,senior_secondary,yes,no,920,999,0,nonexistent,06/11/18,93.2,0
36124,25-40,self-employed,married,illiterate,yes,no,488,999,0,nonexistent,01/11/18,93.2,1
37700,25-40,white-collar,single,bachelors,yes,no,295,3,2,success,06/03/18,93.369,1
5648,41-60,white-collar,married,secondary,no,no,617,999,0,nonexistent,02/05/18,93.994,0
40544,18-24,other,single,unknown,yes,no,396,999,0,nonexistent,03/04/18,93.075,1
18941,41-60,technician,divorced,secondary,yes,no,135,999,0,nonexistent,01/06/18,94.465,0
36192,41-60,white-collar,divorced,bachelors,yes,no,159,999,0,nonexistent,01/11/18,93.2,0
8414,25-40,self-employed,single,bachelors,no,no,238,999,0,nonexistent,03/05/18,93.994,0
16248,25-40,technician,married,senior_secondary,yes,no,73,999,0,nonexistent,06/06/18,94.465,0
6369,25-40,white-collar,single,bachelors,no,no,819,999,0,nonexistent,02/05/18,93.994,1
10691,41-60,white-collar,divorced,senior_secondary,yes,yes,380,999,0,nonexistent,03/05/18,92.893,0
17696,25-40,technician,single,bachelors,no,no,73,999,0,nonexistent,07/06/18,94.465,0
17842,25-40,white-collar,single,bachelors,no,yes,224,999,0,nonexistent,07/06/18,92.963,1
4603,41-60,blue-collar,divorced,secondary,no,no,227,999,0,nonexistent,01/05/18,92.893,0
8711,25-40,white-collar,single,secondary,yes,no,210,999,0,nonexistent,03/05/18,93.994,0
5997,41-60,blue-collar,married,secondary,yes,no,347,999,0,nonexistent,02/05/18,93.994,0
37528,41-60,blue-collar,married,secondary,yes,no,124,999,0,nonexistent,05/03/18,93.369,1
28748,60+,other,married,unknown,no,yes,1064,3,1,success,07/08/18,94.027,1
2694,25-40,blue-collar,married,secondary,no,no,227,999,0,nonexistent,01/05/18,93.994,0
499,41-60,blue-collar,married,secondary,no,no,457,999,0,nonexistent,07/05/18,93.994,0
29899,25-40,other,single,senior_secondary,no,no,93,4,3,success,01/08/18,92.201,0
24120,41-60,blue-collar,married,senior_secondary,yes,no,572,999,0,nonexistent,06/07/18,93.918,1
19722,25-40,pink-collar,single,senior_secondary,yes,no,257,999,0,nonexistent,03/07/18,93.918,0
3762,41-60,blue-collar,married,secondary,yes,yes,29,999,0,nonexistent,01/05/18,93.994,0
2915,41-60,white-collar,single,secondary,no,no,293,999,0,nonexistent,01/05/18,93.994,0
20524,25-40,white-collar,married,senior_secondary,no,no,257,999,0,nonexistent,03/07/18,92.469,1
22200,25-40,blue-collar,married,secondary,yes,no,364,999,0,nonexistent,05/07/18,93.918,0
8222,41-60,pink-collar,married,secondary,no,no,689,999,0,nonexistent,02/05/18,92.893,1
25263,25-40,self-employed,married,bachelors,yes,no,105,999,0,nonexistent,02/07/18,93.918,0
27570,41-60,blue-collar,married,secondary,no,no,238,999,0,nonexistent,07/08/18,93.444,0
32685,25-40,white-collar,single,bachelors,yes,no,526,999,0,nonexistent,01/10/18,946.01,1
29861,25-40,white-collar,single,bachelors,yes,no,1117,999,0,nonexistent,01/08/18,92.201,0
27045,25-40,white-collar,single,bachelors,no,yes,78,999,0,nonexistent,06/08/18,93.444,0
19823,41-60,technician,married,secondary,yes,no,166,999,0,nonexistent,03/07/18,93.918,0
12863,25-40,blue-collar,married,secondary,yes,no,720,999,0,nonexistent,04/05/18,92.893,1
14943,25-40,blue-collar,married,secondary,yes,no,75,999,0,nonexistent,04/06/18,92.963,0
16749,25-40,white-collar,single,bachelors,yes,no,249,999,0,nonexistent,06/06/18,94.465,0
32523,60+,other,married,secondary,no,no,176,999,0,nonexistent,05/10/18,92.431,0
37302,25-40,other,married,masters,yes,no,315,6,1,success,03/12/18,92.713,1
13469,25-40,self-employed,married,secondary,yes,no,1111,999,0,nonexistent,04/05/18,92.893,1
16816,25-40,white-collar,divorced,bachelors,yes,no,117,999,0,nonexistent,06/06/18,92.963,1
12080,25-40,blue-collar,married,secondary,no,no,559,999,0,nonexistent,04/05/18,93.994,0
10889,41-60,white-collar,married,bachelors,no,no,154,999,0,nonexistent,03/05/18,93.876,1
35234,25-40,entrepreneur,divorced,secondary,no,no,353,999,0,nonexistent,07/11/18,93.2,0
20363,41-60,white-collar,single,bachelors,no,no,57,999,0,nonexistent,03/07/18,93.918,0
16362,41-60,entrepreneur,married,bachelors,no,no,935,999,0,nonexistent,06/06/18,94.465,1
23926,25-40,pink-collar,married,senior_secondary,no,no,1060,999,0,nonexistent,06/07/18,93.918,1
20962,41-60,other,married,secondary,no,no,1014,999,0,nonexistent,04/07/18,93.918,1
25404,25-40,technician,single,senior_secondary,yes,yes,894,999,0,nonexistent,02/07/18,93.918,1
24987,41-60,blue-collar,married,secondary,yes,no,107,999,0,nonexistent,02/07/18,93.918,0
19732,25-40,technician,divorced,secondary,yes,no,716,999,0,nonexistent,03/07/18,93.918,1
32790,41-60,technician,married,secondary,yes,no,595,6,1,success,02/10/18,92.431,1
12445,41-60,blue-collar,married,secondary,no,no,222,999,0,nonexistent,04/05/18,93.994,0
21528,25-40,white-collar,single,bachelors,yes,no,1327,999,0,nonexistent,04/07/18,93.918,1
37266,41-60,blue-collar,married,senior_secondary,no,no,344,999,0,nonexistent,03/12/18,92.713,1
13365,25-40,pink-collar,divorced,senior_secondary,yes,yes,562,999,0,nonexistent,04/05/18,92.893,1
15817,18-24,other,single,senior_secondary,no,no,310,999,0,nonexistent,05/06/18,92.963,1
6952,25-40,pink-collar,divorced,masters,yes,yes,294,999,0,nonexistent,02/05/18,93.994,0
32575,18-24,other,single,senior_secondary,no,yes,380,3,1,success,05/10/18,946.01,1
2686,25-40,blue-collar,married,secondary,no,no,43,999,0,nonexistent,01/05/18,93.994,0
39661,25-40,other,single,bachelors,yes,yes,183,6,2,success,06/04/18,93.749,1
13843,41-60,blue-collar,divorced,unknown,yes,no,172,999,0,nonexistent,04/06/18,94.465,0
26661,25-40,technician,single,senior_secondary,no,no,129,999,0,nonexistent,06/08/18,93.444,0
1796,25-40,blue-collar,married,senior_secondary,no,no,627,999,0,nonexistent,07/05/18,92.893,0
27678,25-40,white-collar,married,senior_secondary,yes,no,236,999,0,nonexistent,07/08/18,93.444,0
9054,25-40,entrepreneur,single,bachelors,yes,no,43,999,0,nonexistent,03/05/18,93.994,0
16996,25-40,white-collar,single,masters,no,no,104,999,0,nonexistent,07/06/18,94.465,0
1689,25-40,technician,single,bachelors,no,no,629,999,1,failure,07/05/18,92.893,1
24128,25-40,white-collar,single,secondary,no,no,978,999,0,nonexistent,06/07/18,93.918,1
35654,25-40,white-collar,unknown,masters,yes,no,125,999,1,failure,01/11/18,93.2,0
19628,41-60,pink-collar,single,senior_secondary,no,no,1317,999,0,nonexistent,03/07/18,93.918,1
23935,25-40,blue-collar,married,secondary,no,yes,173,999,0,nonexistent,06/07/18,93.918,0
31333,41-60,white-collar,divorced,bachelors,no,no,172,3,6,success,02/08/18,94.027,1
19602,41-60,blue-collar,married,secondary,no,no,778,999,0,nonexistent,03/07/18,93.918,0
3843,41-60,technician,divorced,secondary,yes,no,725,999,0,nonexistent,01/05/18,93.994,0
35549,25-40,white-collar,married,bachelors,yes,no,241,3,1,success,07/11/18,92.649,1
2082,25-40,entrepreneur,married,senior_secondary,yes,no,508,999,2,failure,07/05/18,92.893,0
22190,25-40,blue-collar,single,secondary,no,no,854,999,0,nonexistent,05/07/18,93.918,1
21612,25-40,pink-collar,divorced,senior_secondary,no,no,532,999,0,nonexistent,04/07/18,93.918,1
10811,25-40,blue-collar,single,secondary,no,no,100,999,0,nonexistent,03/05/18,92.893,0
4817,25-40,white-collar,single,senior_secondary,yes,no,100,999,0,nonexistent,01/05/18,92.893,0
28303,41-60,pink-collar,married,senior_secondary,no,no,187,999,0,nonexistent,07/08/18,93.444,0
10380,25-40,technician,single,unknown,no,no,745,999,1,failure,03/05/18,92.893,1
19776,41-60,blue-collar,married,secondary,no,no,395,999,0,nonexistent,03/07/18,93.918,0
32717,25-40,blue-collar,married,secondary,yes,no,4,999,0,nonexistent,02/10/18,93.798,0
15455,25-40,self-employed,married,secondary,no,no,243,999,0,nonexistent,05/06/18,94.465,0
24722,25-40,other,single,bachelors,yes,yes,350,999,0,nonexistent,06/07/18,94.215,1
24432,41-60,technician,married,bachelors,yes,no,115,999,0,nonexistent,06/07/18,93.918,0
23343,25-40,pink-collar,single,masters,yes,no,255,999,0,nonexistent,05/07/18,93.918,0
40090,25-40,technician,married,secondary,yes,no,419,999,1,failure,02/04/18,93.075,0
34128,25-40,blue-collar,divorced,unknown,no,no,154,999,0,nonexistent,06/11/18,93.2,0
8941,41-60,blue-collar,divorced,secondary,yes,no,106,999,0,nonexistent,03/05/18,93.994,0
6367,25-40,blue-collar,married,secondary,no,no,445,999,0,nonexistent,02/05/18,93.994,0
27745,41-60,white-collar,married,bachelors,yes,no,250,999,0,nonexistent,07/08/18,93.444,0
15224,25-40,white-collar,single,bachelors,no,no,94,999,0,nonexistent,05/06/18,94.465,0
9408,25-40,entrepreneur,divorced,secondary,yes,no,596,999,0,nonexistent,03/05/18,93.994,0
21043,41-60,blue-collar,single,secondary,yes,yes,180600,999,0,nonexistent,04/07/18,93.918,1
35206,25-40,white-collar,married,bachelors,yes,no,418,999,0,nonexistent,07/11/18,93.2,0
30669,25-40,white-collar,married,bachelors,yes,no,140,999,0,nonexistent,02/08/18,93.444,0
2600,41-60,blue-collar,married,secondary,unknown,unknown,352,999,1,failure,07/05/18,92.893,1
4828,25-40,technician,single,bachelors,no,no,882,999,0,nonexistent,01/05/18,92.893,1
27957,41-60,other,married,secondary,yes,no,645,999,0,nonexistent,07/08/18,93.444,1
37308,25-40,self-employed,single,bachelors,yes,no,205,999,1,failure,03/12/18,92.713,1
2072,25-40,white-collar,divorced,senior_secondary,yes,yes,82,999,1,failure,07/05/18,92.893,0
2622,60+,other,married,masters,yes,yes,444,14,1,success,07/05/18,93.876,1
6415,41-60,blue-collar,single,masters,no,no,51,999,0,nonexistent,02/05/18,93.994,0
28947,41-60,blue-collar,married,secondary,no,no,131,999,0,nonexistent,01/08/18,93.444,0
29158,25-40,technician,married,masters,yes,yes,657,999,0,nonexistent,01/08/18,93.444,1
40911,25-40,pink-collar,single,bachelors,yes,no,404,6,3,success,06/09/18,94.199,1
9774,25-40,blue-collar,married,secondary,yes,no,317,999,0,nonexistent,03/05/18,92.893,0
6897,25-40,blue-collar,married,secondary,no,no,36,999,0,nonexistent,02/05/18,93.994,0
28773,41-60,other,married,senior_secondary,yes,no,443,999,2,failure,07/08/18,94.027,1
1504,41-60,technician,married,masters,yes,no,25,999,0,nonexistent,07/05/18,92.893,0
25323,25-40,white-collar,single,secondary,yes,no,392,999,0,nonexistent,02/07/18,93.918,0
36344,25-40,pink-collar,divorced,senior_secondary,yes,no,251,999,0,nonexistent,01/11/18,93.2,0
28583,25-40,other,single,senior_secondary,unknown,unknown,505,4,3,success,07/08/18,92.201,1
32587,25-40,technician,divorced,bachelors,no,yes,201600,999,0,nonexistent,01/10/18,93.798,1
11131,41-60,blue-collar,married,secondary,no,no,275,999,0,nonexistent,04/05/18,93.994,0
39154,41-60,pink-collar,married,senior_secondary,no,no,408,999,1,failure,06/04/18,93.075,0
25540,25-40,white-collar,married,senior_secondary,yes,no,38,999,0,nonexistent,02/07/18,93.918,0
11167,25-40,white-collar,single,bachelors,yes,yes,274,999,0,nonexistent,04/05/18,93.994,0
13418,41-60,white-collar,married,senior_secondary,yes,no,611,999,0,nonexistent,04/05/18,92.893,1
36091,25-40,blue-collar,married,secondary,no,no,53,999,0,nonexistent,01/11/18,93.2,0
32420,41-60,self-employed,divorced,bachelors,no,no,222,999,0,nonexistent,03/08/18,94.027,1
6914,41-60,blue-collar,married,secondary,no,no,296,999,0,nonexistent,02/05/18,93.994,0
4142,25-40,self-employed,married,bachelors,no,no,367,999,0,nonexistent,01/05/18,93.994,0
18695,25-40,blue-collar,single,unknown,yes,no,8,999,0,nonexistent,01/06/18,94.465,0
21839,41-60,white-collar,married,bachelors,yes,no,89,999,0,nonexistent,04/07/18,93.918,0
9195,41-60,white-collar,married,bachelors,no,no,430,999,0,nonexistent,03/05/18,93.994,0
6868,41-60,pink-collar,married,secondary,yes,no,507,999,0,nonexistent,02/05/18,93.994,1
39664,25-40,entrepreneur,married,masters,yes,yes,278,999,1,failure,02/04/18,93.075,0
14721,25-40,blue-collar,married,secondary,yes,no,82,999,0,nonexistent,04/06/18,94.465,0
8615,41-60,blue-collar,married,secondary,yes,no,116,999,0,nonexistent,03/05/18,93.994,0
40988,41-60,technician,married,masters,no,yes,520,999,0,nonexistent,07/09/18,92.379,1
25273,41-60,blue-collar,divorced,secondary,yes,no,146,999,0,nonexistent,02/07/18,93.918,0
5434,41-60,technician,married,bachelors,no,yes,209,2,2,success,01/05/18,93.876,1
24373,25-40,white-collar,single,senior_secondary,no,no,219,999,0,nonexistent,06/07/18,93.918,0
34659,25-40,white-collar,married,bachelors,yes,no,64,3,3,success,06/11/18,92.649,1
31311,25-40,other,single,unknown,no,no,700,999,1,failure,02/08/18,92.201,1
192,41-60,white-collar,divorced,bachelors,no,no,19,999,0,nonexistent,07/05/18,93.994,0
31326,41-60,white-collar,single,senior_secondary,no,no,329,9,4,failure,02/08/18,94.027,0
33050,25-40,blue-collar,married,secondary,yes,no,68,999,0,nonexistent,04/10/18,92.431,0
34742,25-40,white-collar,married,bachelors,yes,no,204,999,0,nonexistent,07/11/18,93.2,1
35583,41-60,technician,married,bachelors,no,no,164,999,1,failure,07/11/18,947.67,0
18794,25-40,white-collar,single,secondary,yes,yes,13,999,0,nonexistent,01/06/18,94.465,0
40902,41-60,other,married,bachelors,no,no,529,6,1,success,06/09/18,94.199,1
40102,25-40,white-collar,married,bachelors,no,no,163,999,0,nonexistent,02/04/18,93.075,1
39262,25-40,white-collar,single,senior_secondary,yes,yes,299,999,0,nonexistent,06/04/18,93.075,0
39155,25-40,technician,divorced,secondary,yes,no,76,999,0,nonexistent,06/04/18,93.075,0
14161,25-40,white-collar,divorced,bachelors,yes,no,464,999,0,nonexistent,04/06/18,94.465,0
31377,41-60,blue-collar,married,secondary,no,no,116,999,0,nonexistent,03/08/18,93.444,0
33957,25-40,white-collar,married,bachelors,no,no,88,999,0,nonexistent,06/11/18,93.2,0
28647,41-60,white-collar,divorced,masters,no,no,206,999,1,failure,07/08/18,92.201,1
36525,25-40,white-collar,married,bachelors,yes,no,37,999,1,failure,02/11/18,93.2,0
21294,18-24,pink-collar,single,secondary,no,no,105,999,0,nonexistent,04/07/18,93.918,0
31193,25-40,technician,divorced,masters,yes,no,310,999,1,failure,02/08/18,92.201,1
16814,25-40,pink-collar,married,senior_secondary,yes,no,200,999,0,nonexistent,06/06/18,92.963,0
39745,41-60,blue-collar,married,secondary,no,no,12,999,0,nonexistent,02/04/18,93.075,0
11139,41-60,white-collar,married,unknown,yes,no,129,999,0,nonexistent,04/05/18,93.994,0
36544,41-60,white-collar,married,bachelors,yes,no,118,999,0,nonexistent,02/11/18,93.2,0
39011,41-60,white-collar,divorced,bachelors,yes,no,222,999,0,nonexistent,05/04/18,93.749,1
2810,25-40,technician,divorced,bachelors,no,no,73,999,0,nonexistent,01/05/18,93.994,0
26905,41-60,white-collar,married,bachelors,yes,no,204,999,0,nonexistent,06/08/18,93.444,0
39351,41-60,blue-collar,married,masters,no,no,247,999,0,nonexistent,06/04/18,93.075,0
23640,41-60,technician,married,masters,yes,no,135,999,1,failure,05/07/18,92.469,1
40495,25-40,other,single,bachelors,yes,no,168,999,0,nonexistent,03/04/18,93.075,1
16431,41-60,technician,single,masters,yes,no,184,999,0,nonexistent,06/06/18,94.465,0
20840,25-40,white-collar,married,bachelors,yes,no,161,999,0,nonexistent,04/07/18,93.918,0
33402,41-60,white-collar,married,masters,no,no,74,999,1,failure,05/11/18,93.2,0
14459,41-60,white-collar,married,senior_secondary,unknown,unknown,148,999,0,nonexistent,04/06/18,94.465,0
24574,41-60,entrepreneur,divorced,senior_secondary,unknown,unknown,360,999,0,nonexistent,06/07/18,93.918,0
15167,41-60,white-collar,single,bachelors,no,no,193,999,0,nonexistent,05/06/18,94.465,0
27395,25-40,other,single,senior_secondary,yes,no,712,999,0,nonexistent,06/08/18,92.201,1
5949,25-40,other,divorced,secondary,no,no,1321,999,0,nonexistent,02/05/18,93.994,1
33473,41-60,white-collar,married,bachelors,yes,no,76,999,0,nonexistent,05/11/18,93.2,0
764,25-40,blue-collar,single,secondary,no,yes,36,999,0,nonexistent,07/05/18,93.994,0
19384,25-40,blue-collar,married,secondary,unknown,unknown,319,999,0,nonexistent,03/07/18,93.918,0
11515,25-40,blue-collar,single,secondary,yes,no,155,999,0,nonexistent,04/05/18,93.994,0
